Id,Text
175,i am suspicious of my boyfriend cheating on me. what are some signs i can look for?
176,has an organ been cloned as of yet? i awas having a debate with my husband over whether or not scientists have cloned an organ. i say they have
177,how to send voice mail msg using yahoo mssenger?
178,how many/which of the actresses on the l word are lesbians?
179,my apt rule says no excess noise after 10pm kid above runs around-slamming doors apt mgr post notes what to do my apt says no noise after 10pm but upstairs tenants watch tv with volume loud and small tyke runs around day and evening-slams doors and screams top of lungs-crying as early as 3am. mgr says they might get sued by the parents -i guess as a form of harrasment. all they can do is post notes on their doors.we did not chose to live in apt
180,how do i find my boyfriends ssn online ? neither his mother or father knows it.please help he needs a job?
181,who did time name man of the decade at the end of the 80's?
182,are farts inflammable or explosive ? do they really catch flame. i have seen them on tv. but is it true
183,where are goldenlangur found in? tell the santuries name
184,how did john lennon meet yoko ono?
185,how can i lose 10 lbs ? or 15   m age 54 235?
186,is anyone here not...? 1) 12 years old?&#xa;2) utterly incompetent and unable to conduct independent research?&#xa;3) here just to poke fun at the questions posed by the two above groups?
187,what is a mullet?
188,how can i enjoy school more? i get mainly 80's and 90's
189,is anyone remembers this old movie escape from surbibo i mis spell it. can i get correct spelling for it pls
190,i want to drink 8 glasses of water everyday as recommended by doctors. however i feel very bloated after only 3 glasses. what should i do?
191,what is the physical mechanism that makes muscles grow larger after repeated use? on a cellular level
192,why is it impossible to fly faster then speed of light what is the reason that prevents any particle in the universe to move faster then the speed of light
193,could planets exist in stable orbits around binary stars? could planets exist in stable orbits around binary stars?
194,how does a line of credit work?
195,how much does it cost to make a television commercial?
196,how do i change my home page back to sbc dsl?
197,why do men like big boobs?
198,what kind of black girl is appealing to a 14 or 15 years old boy?
199,what's the best tune site for mp3's? i want to give tune gifts but don't know what sites are reliable and cheap for both ipods and others
200,what is the best tv show?
201,how do planes fly upside down? i understand that a combination of bernoulli's theorem and the shape of a wing's cross section allow a plane to fly right way up
202,why do objects like egg explode in oven ?
203,what is the reason behind the creation of the fbi?
204,i think keira knightly and scaralet johanssen are the most beautiful girls in the world
205,what is my watch list in yahoo answers? can't find it in help.
206,does it affect the stability of a system if internet explorer &amp; firefox both are installed &amp; used?
207,use to be hot- now they are not? name some celebrities that fit in that category...
208,why does it seem that most of the diets don't work on over weight people?
209,fan fiction? were can i find fan fic for the old t.v show popular
210,whe are foreign films not popular in the us? i need this for a thesis i am working on - i am trying to understand the reasons why this might be so?  any pointers on how much revenue they generate as a % of overall box office revenue will also be appreciated.
211,why does eating spicy food make you crave for something sweet?
212,how do you feel about the show cheaters?
213,how do you handle someone in an authority position that asks too many questions?
214,anybody know how to use mathlab to generate flux-linkage excitation current curve?
215,do you think snopes.com is a reliable source for when someone posts an urban legend? i like this site
216,what is the free site friend finder and marriage that it do not ask money or credit card?
217,i want o change my last name.  what would be a cool last name?
218,what are the top 5 bug tracking software options?
219,how  to make a new avatar?
220,what caused the plague?
221,what is a test of stability?
222,why is a tooth ache so severe and unbearable?
223,i asked why men opt to get married to fellow men when there are ladies who are our eva pertan?
224,why is kelly clarkson so successful unlike the other idol winners?
225,a party wins 30 million on a powerball jackpot. how much cash could he really get? one party/ two different tickets / a group of ten people?
226,where did the term i'll be there with bells on originate? i seem to remember reading somewhere that in the old sled/carriage days that if a fellow teamster had to bail you out of trouble
227,tell me some of jacksonville zip codes?
228,who's name(s) are displayed on an invitation to a baby shower - the mother only or both.  unmarried people esp
229,how do elephants communicate?
230,when and how does hitchcock make his cameo appearance in suspicion?
231,why does firefox not load certain sites? just loads blank page for some sites.
232,where do we find avatar?why it is called so? if you answer please send your e-mail too.
233,how do you break out in the movie business?
234,should i buy or rent a house in california?
235,how do you balance saving for retirement vs. saving for a house/condo? for a person in their 20's
236,where will i find a base64 decryptor tool ?
237,what are key difference between movable type and wordpress blogging platforms? which should i choose?
238,as a freshmen starting college
239,why did mark david chapman kill john lennon?
240,want to know what happened to my old login.? unable to log in under my old login.
241,how can i design a messenger like yahoo???
242,how can you stop helping a 24 year old  daughter you love? i have a daughter who keeps making huge financial mistakes.i cant hardly bear to watch her young life go deeper and deeper into financial ruin. she is angry when i interfere and make comments her father and i carry heavy hearts watching this. police tickets
243,who invented the internet?
244,if my high school grades are so-so
245,what do you think about the band creed's break-up? do you like the new band alterbridge which is made up by the former creed members &amp; myles kennedy or do you like scott stapp's solo venture? or would you rather have creed back in one peice?
246,what is your stance on inter-racial relationships?
247,does anyone use yahoo domains? what are your thoughts?
248,which song should i listen as i am lovelorn now....? anything can make me better?
249,who are you ? can you answer that ?
250,what is the best sites for free download?
251,how can you tell if a guy is seriously interested in you?
252,who sings the version of hangin' on the telephone as used in the current wireless commercial on tv? it's not blondie. &#xa;&#xa;bueller? &#xa;bueller? &#xa;bueller? &#xa;anyone?
253,you are in love with someone that is too close to your family.  what to do?
254,how was your hoildays. like: in novmber: thanksgiving. in decamber: chrismas and others!!!? mine was pretty good. i got a lot of stuff at the holiday.
255,how do you get over a broken heart?
256,how do i get someone to release their claim against me on paypal? months ago
257,why most of the cancer types make metastasis in bone?
258,is taking aspirin an effective treatment for high blood pressure????
259,wats the thing u really love about ur etnicity???
260,what is base 1
261,what can i do about biting bug in bed in kuwait? my hands and arms bit badly. what is a safe way to rid bugs? i dont want to use pesticide poison.
262,what can one do about anal leak?
263,the main substrate for the secretion of ammonia in the kidney?
264,can anyone please tell me who sings this song?!?!? i've been hearing this song on the radio &amp; i really like it
265,what is the role of music in evolution?
266,who is your fave. person on laguna beach? (the mtv show)? 1st or 2nd season. tell why.
267,what is wireless networking?
268,name a company that has developed 4d imaging?
269,what's the best/safest way to lose 10 lbs fast?
270,how do people feel about yoga teacher rubbing oil on their backs during the class?
271,how does seach engine search so fast? how can they go through all the words in a million or so pages in less than a secong?
272,what is the only bird with a penis?
273,can africans become geisha women in japan?
274,is it web site or website? i see it spellt both ways and was wondering if there is actually a correct way to spell a site on the internet.
275,why do people say 'pardon my french' when they cuss?
276,how many pairs of sneakers does missy eliott have?
277,if yahoo! keeps censoring everything will we have to use big words to confuse them?
278,on the open sea
279,on yahoo-how do u edit your hobbies
280,when will the new back to the future movie be premiered?
281,how do you know if you really love someone and want to spend the rest of your life with them how do you know?
282,what is the difference between quote and quotation?
283,what is the currency rate in mexico?
284,where do i send requests for celebrities' autographs?
285,what does rsvp stand for?
286,why is water transparent?
287,how many wal-marts are there nation wide?
288,espanol......? i want to learn spanish...can anyone give me some good resources..
289,web site thatsbananas.com trying to find?
290,please solve it for me:  5x+9y=18? draw it for me&#xa;please &#xa;thank you
291,why are jeans called a pair of jeans? when in reality it is only a single item? and underwear are called a pair of underwear...but a shirt is not  a pair of shirt?
292,how hot is jesse mccartney to u from 1-100000?
293,in a home network (xp)
294,what are some ways to be creative? looking to come up with some great invention ideas
295,please tell me what is phaldelphia`s current sales tax rate.?
296,16 years old daughter go out with friks? she dont like nice usual guys&#xa;and we cant lock her up in the house
297,what diseases come from smoking?
298,my sharp projector model xv-s1z is not catch vedio what problem? what i do?
299,what does imao stand for?
300,i am trying to fix a black and white photo what is a good software to try???
301,how can you talk to a real person at yahoo when your site disappears from the results?
302,why is it that guys only go for girls that are skinny and not fat ones? my sister wants to know.
303,what do think of south park?
304,i have no credit. are there loans that will help me build it?
305,my boyfriend and i have been 2gether almost 3 years now do anybody know why he can nto tell me he loves me? my bf and i have been 2gether 4 alomst 3 years now and still can not tell me he loves me. i do not know if im doing something wrong or what iam doing wrong. we have a daughter 2gether and she is alomst 15 months and we want another baby but i do not know if we should start trying if he can not tell me he loves me. if you can answer my question or give just a little bit of advice please email me at &#xa;fire_kitten201983@yahoo.com
306,what are the first names of starsky and hutch?
307,my sisters computer will not let her into her mail.says not accepting cookies. was fine last week. a fix? maybe someone else changed it. she uses yahoo.com for mail.her name  sharri47201@yahoo.com thanks
308,do they have a robinson's may in alburqueque
309,i hope ill be able to get the email i dont have anyone to help me?
310,who invented ships?
311,what open source program is the best example of ruby programming to study to learn the language better? looking for a good open source program to study in order to pick up on the idioms of ruby programming that make ruby programs uniquely succinct
312,name of the parliments of 1.afganistan
313,i can't acces my wrt54g router any more
314,about ethiopian import trade? aii about ethiopian import trade
315,is a transponder required to fly in class c airspace? i've heard that it may not be for some aircraft.  what are the rules?
316,how do i download music?
317,can boys and girls be just friends? can boys and girls be just friends and never lovers?&#xd;&lt;br&gt;&lt;br&gt;please no answer from - when harry met sally.&#xd;&lt;br&gt;&lt;br&gt;any studies by kinsey?  i think he failed this test by the way.....
318,if a boy looks at u weird and has been talking to u does that mean that he likes u? a boy at my school always looks at me weird
319,who is the leader of the band thats made for you and me?
320,why is it so foggy in the central valley of california?
321,what is the role of a nickname in a chat session?
322,how can i act like myself when i am talking to someone i hardly know? i always get nervous when i'm talking to someone i don't know to well and i run out of things to say! please help!
323,how do i make xp style tabs with vb 6.0? how do i make a form use xp style tabs in vb 6.0?  for an example
324,how do i protect myself from credit card scam?
325,what are the java codes for converting 24 hour notation to 12 hour notation?
326,what is the difference between blog and podcast ?
327,how do you meet new people and make new friends? i'm living in a new city and i am finding it hard to meet new people and make new friends.  what do people useally do?
328,what is the maximum number of identical stones so that after a look-alike is added...? ... you will need to scale them at most three times to identify the look-alike one.  note that you don't know if the look-alike stone is lighter or heavier than the rest.
329,how do you boot on yahoo?
330,hard and soft ecotourist?
331,i've been divorced for 4 years and not date.  how can i get back into the dating.  i do make myself available. i was married for 13.5 years and has been divorced for 4 years and not one single date.  how can i get back into the dating scene.  i do make myself available but i'm not sure how the dating scene works anymore.  could i have a certain look and guys feel that i am not approachable or what.
332,what is down syndrome'?
333,is fluoride a compound or just two fluorine atoms? if it is a compound what are the elements in it?
334,how do you save online movies for play later?
335,what do i need to burn my own cds?
336,where can i find a list of popes? i have a history project to name all popes till now
337,how do i become a singer
338,what do you call your significant other as endearment (hun? babe?)?
339,don't women get turned off if you don't try to sleep with her after a few dates? i mean
340,what does hov stand for in relation to jay-z?
341,how to locate job oprrutunities? job oppurtunities here in the phillipines or abroad
342,what are the equipments that pediatrician uses to look inside the ears and for eyes?
343,how could i able to show only those record which are satisfying my condition and that cond.is given from vb ap i want to generate a report which is complitely dynamic. that means then report will show only those records which are saris fying the condition passed from vb6.0 app. or i want to get some records from the attached table which are satisfying the condition.&#xa;ex:&#xa;if i will pass 5000/- as salary from vb app then the report will display only those records whose salary field contains 5000/-. if i will pass a/c as dept then the report will display the records of only those employees who are working in a/c dept.&#xa;&#xa;the answer is very necessary please help me.
344,i cant find the site? www.expertworx.com/pm/index.htm
345,i would like to know the postal address for king fahad hospital jeddah saudi arabia?
346,music recommendations for someone who's into all-american rejects
347,hey! my question! will the printer lexmark color jetprinter series 7000 work on the hp pavilion mx70 computer?
348,why am i so unpopular?
349,where did the tradition of christmas trees start?
350,what do you think of the maury povich show?
351,who is the best singer/band ever? queen
352,what is ac/dcs newest albulm?
353,what is hip hop?
354,are all women capable of having orgasms during sex  -even obese people?
355,why do most cartoon characters have four fingers instead of five?
356,how to get the sound in ac3 5 1 video files? when i download video files that are encoded in ac3 5 1
357,why is the sky blue?
358,how do you spell naucihaucipilification???
359,does anyone know of a free online homeschooling for highschoolers that provides a diploma.? that also includes all materials needed???
360,how can i cure my hiccups?
361,is there an online dating service for gays similar to eharmony.com? eharmony is based on a common sense approach to realistic dating for heterosexuals only.&#xa;&#xa;online gay dating sites are almost always geared towards sexual encounters.  those that claim otherwise are far less sophisticated than eharmony.
362,how do you download music to your i-pod?
363,how do you tell a close friend that her daughter is gay without hurting her?
364,how to convert a pdf document to word document without losing the formatting?
365,what is the easiest way for a 3ds max 8 user to learn blender?
366,where do they have good sales the day after christmas?
367,is there a new grand theft auto for ps2?
368,what topic would you like to ask now? just want to ask.
369,what's the eye on the dollar 
370,what is a straddle?
371,what is the seed of sound?
372,how does the butterfy effect really end? (warning: spoilers)? was watching the director's cut
373,why doesn't an optical mouse work on a glass table? or even on some surfaces?
374,do animals see colours?
375,why is the sky blue? it's the age old question....
376,what's the difference between a divorce and an anullment?
377,what is noble gas configuration? this question is mainly to test the knowledge of the answerers and to make sure no false answers are given.
378,gateways good desktop pc? it has a 2 gb of ram.320 gb hd.128 graphics card.intel motherboard.media edition.remote included.it costs $1
379,differencs between friend &amp; girlfriend?
380,bottle bargain!  an easy one? a bottle and a cork cost together £25 and the bottle costs £20 more than the cork. how much do
381,how many boyfriend did you have and how was the first relationship?
382,how do i learn sharepoint?
383,is ralph carter from good times dead?
384,i'm trying to reset my wireless access point
385,will there ever be a cure for hailey-hailey disease?
386,how can i get a boyfriend? what do they look for in a girl?
387,who is the funniest arab stand up comedian?
388,how can i recover the security key for my yahoo! account? i had a hard time trying to figure out what my security key was. i don't even remember ever having one.
389,is there a way to sent a voice message via email? what would i need to do to be able to do this? buy software?
390,who likes country music? i'm a fan!?
391,y didnt 50 cent get on the bus??
392,what does cashedge inc. do?
393,modern education? opinion about today's education
394,what`s the meaning of suction?
395,i have a desktop with a 82845 gl intel integrated video card 64mb w/ no agp slot.  should i upgrade via pci? i'm concerned that upgrading via a pci card will not be any better.  any advice would be appreciated.
396,what do you do day before chrismass?
397,how can you get a girl to get freakie and be okay with it when your married and she is single?
398,have you encountered a ghost?
399,are there any good men out there?
400,which singer made the most successful transition to acting? i know it isn't madonna!
401,difficult riddle? late one evening
402,error when installing mambo portal :: sql=specified key was too long; max key length is 1000 bytes:? hello
403,what are the green mailboxes for right next to the blue postal boxes?
404,what actions can be taken against an incompetant boss? my husband has an incompetant boss. the boss comes up with ridiculous ideas and forces the employees to follow them or they will be docked in pay.  he tries to pass the buck and say that he has the full support of the owners
405,what is the most abundant triatomic molecule in the universe?
406,does coffee really help asthmatic  p/pz?
407,if i weigh 200 on earth
408,if any one want to live in beauty bulgaria/or to buy  very cheape hose hear? i can help /in bulgaria there is beauty nature spesiality by the black see.
409,what is better for a bad back yoga or pilates?
410,how do you tell someone that you feel something for them?
411,what does j/k mean?
412,does anyone know a good apartment rental agency around washington dc?
413,do best friends always have to have the same friends or clique?
414,what's the best technique for determining the valuation of a very early stage startup? by very early stage
415,i need to find a doctor that will listen?
416,do people over 70 really benefit from cholestrol lowering drugs?
417,can someone tell me what break a leg means?
418,yoga is good for health?
419,highest scoring word in scrabble?
420,what is your favorite color?
421,what is the minimum gpa to get into colleges? i don't know what the minimum gpa is to get into colleges. if my gpa isn't that high will i still get in? i don't want to go to a community college though.
422,can u find me a web site about my research for term paper  about the begining of olympics and greece?
423,who like the show family guy?
424,who invented tv?
425,what is a smallpox? i heard it's really dangerous.
426,anyone know of free voip service to call overseas...say us to uk..??
427,how many electron pairs with principal quantum number n=3 can be accomodated in an atom?
428,guys pls tell me limewire is legal?
429,what is the one trait about your mate that makes them special?
430,where does the expression 'dead as a doornail' come from
431,is chocolate good or bad for health?
432,how do i make a christmas tree farm? i would like to start a christmas tree farm and need some helpful infromation.
433,did you  deal or no deal last night?  did you like it.?
434,why does paul wall have a blangin grill?
435,how do you rent an apartment in san francisco when you have poor credit...?
436,what radio frequency does my wireless router transmit at?  would i be able to hear it with a scanner.?
437,how do you get rid of lazyness?
438,how does a person live his whole life with the notion of impending death just a philosophical question
439,i have a problem wity program not responding?
440,another which is worse? ...peeing your pants or throwing up on yourself?
441,where can i find info on free work at home jobs?
442,how do i get armpit hair to grow back?  i am a man.?
443,how do you get rid of a boil? besides a hot compress?
444,where can i find out the history of a holiday?
445,why do people act like it's you who has a problem...when it's really them? for instance if you meet someone and they can't keep a relationship and they act like it's all the people they've met who have problems
446,what is cerebravaswlar accidents?
447,who or what do you think built the pyramids of egypt? a lot of theories have surfaced over time but nobody&#xa;seems to know who could have built them.
448,why dont we get points for reporting abuse?
449,is there a cure for juvinile diabetes? if so please clue me in?
450,why we are not using the sea waves to generate electricity? giving that it is a clean and safe energy
451,what year was joseph
452,who said do
453,if you cheat on your boyfriend..should you tell him
454,how to improve credit score in a span of 6 months?
455,6th wedding anniversary - any ideas? my husband and i will be celebrating our 6th wedding anniversary next friday. i would love to do something special for him
456,looking for incremental backup software + bootable images + networkable (?)? i'm basically looking for incremental backup software that will be able to take an image of the hd
457,what are the best techniques one can use to help improve posture?
458,what kind of animal were the animaniacs?
459,the federal animal welfare act requiring licensing of biomedical animal research facilities is enforced by? 1. food and drug administration&#xa;2. association for accreditation of laboratory animal care&#xa;3. national institutes of health&#xa;4. united states department of agriculture&#xa;&#xa;which one is the correct answer? thanks.
460,what is directx?
461,why do you think google is buying up a lot of dark fiber? opinions?
462,i need to find a map of property but i dont know the exact address. i only need the woods around it.?
463,where do you learn to hack?
464,walk the line movie with joaquin phoenix? what did you think of it?
465,is doing drugs really a bad thing?
466,what should we say when someone ask us
467,what are the roles of gravitational force in the ultimate fate of the universe?
468,how much common salt contains 2 grams of sodium?
469,like hi5 or zorpia or orkut sites? 666545332132121
470,do girls poop too?
471,which family guy episode/cliip is your favorite?
472,i am in the 7th grade and the guy i like is in the 9th grade. should i ask him out or what.?
473,in the fourth century bc
474,does anyone like me?
475,jennifer lopez - white?
476,how do you say @ in your language and whats your language? arroba in spanish
477,experiencing moments of involuntary clairvoyance and psychic phenomena
478,iam looking to find a way to see the huble telescope please help this grandpa find it for my babys?
479,how lame is this?
480,what to do when u cant find a girl?
481,where did jess james bury his gold.?
482,what color is my oldest son's eyes?
483,i get irritated very easy
484,do all diabetics have realy dry skin?
485,what is special about an ipod ?
486,what is the difference between shareholder and stakeholder ?
487,does sexy nighties turn men on more than the nude body or vise versa?
488,how much wood can a wood chuck chuck? i just love wood chucks....
489,i want know about love deeply? to know what is love deeply and a good teacher of word of god
490,is there a good karaoke place in phoenix?
491,what do the letters
492,what model was the car from knight rider. and how owns it now?
493,why do british people cheerio when they say good bye and how come we got cheerio as cereal?
494,how can fast-food affect your lifestyle? im working on a project for class and can seem to find answers to my question! any help would be highly appreciated!
495,boys what do you look for in a girl? just want to see if i can improve any thing
496,how close are we to developing warp-drive? how many more years? the vulcans are waiting for us!
497,what is 2+2?
498,when taking out equity line of credit do i have to change my current mortgage rate?
499,how to do well in a networking night?
500,divorced 46yo woman living in small town
501,how do i store heirloom dishes (i.e china crystal etc.)? what can i use for packaging?
502,k but how u do disc clean up?
503,why is there no sex in the champagne room??? hey this is what chris rock said???
